Asset,R_Squared
US Large Cap Equity,0.9906918940400172
US Mid Cap Equity,0.9123635173053706
US Small Cap Equity,0.8712833012703342
Emerging Market Equity,0.6355398384728477
Long Duration Treasury,0.9812439847251684
TIPS,0.8015086616077469
Investment Grade Credit,0.6374629953920316
REITs,0.6337080092805776
Commodities,0.4370483747153048
High Yield Credit,0.8431315161474411
Hedge Funds,0.7443129475785015
Private Equity,0.4472956521780461
Private Real Estate,0.08716459731266091
