,US Large Cap Equity,US Mid Cap Equity,US Small Cap Equity,Emerging Market Equity,Long Duration Treasury,TIPS,Investment Grade Credit,REITs,Commodities,High Yield Credit,Hedge Funds,Private Equity,Private Real Estate
2004-12-31,0.10440061527568223,0.1163518928507048,0.1410895807399617,0.18444918444319724,0.01967622430642013,0.025378259485100196,0.013389018888734006,0.15074563527228535,-0.08071539063411393,0.04549153645833326,0.05738816974522276,0.236387505775,0.1862812807180001
2005-03-31,-0.021368893048828053,-0.002888881356883255,-0.052507202368265005,0.004706684883276635,0.01580107262774577,-0.003010139570184145,-0.009852931612765348,-0.07269580731340586,0.23561050539141903,-0.016034871954541896,0.010708929770591125,-0.057082023134000015,-0.06975258056299993
2005-06-30,0.023456273736586875,0.044323322720530633,0.04536368172615601,0.05917165793741197,0.09442937599737844,0.030814691321708,0.03501786334538748,0.14528370287685588,-0.009983803297572313,0.025947314294755275,0.015518969204717736,0.077078170329,0.027097351492999966
2005-09-30,0.04813537477018137,0.051215177505735676,0.04541718257559402,0.18547493892574485,-0.036339242402938954,-0.0015738354444383429,-0.01209027364529569,0.0416787437769095,0.23636743198591526,0.009869689259002223,0.05064715085532523,0.126946452823,0.1060077538669999
2005-12-31,0.02214094065647143,0.03124647709935524,0.008854551109784392,0.051308442863401416,0.013689264130582135,-0.00115990546544964,-0.0008227299561630597,0.01182546695672948,-0.08058607320605249,0.007940749790028123,0.032376193757999605,0.126946452823,0.1060077538669999
2006-03-31,0.05816379498577762,0.07701157388853175,0.14122984309789777,0.12181292014472356,-0.04804005074202067,-0.02110526212926145,-0.014443961314412501,0.14701288159614911,0.025016185866838292,0.0260207560033332,0.06029318571846143,0.024629669140999955,-0.05900375337399999
2006-06-30,-0.018819207752344136,-0.03603903189017521,-0.05436394313676851,-0.05151531914763885,-0.01794376546885279,0.00489255719951176,-0.004775261351326776,-0.01344070145284526,0.09527254069602464,-0.0007013917088116717,0.0057105234991325915,0.03296610901199992,0.050356303208999975
2006-09-30,0.042955489871094876,-0.009609609559696142,0.0069771816289221356,0.030564787775885227,0.07301654231656629,0.03313303219079988,0.04621938275355375,0.09624836536857795,-0.14782522032908907,0.0376431473956409,0.011999667309391393,0.03296610901199992,0.050356303208999975
2006-12-31,0.07329955828756196,0.06659371900493594,0.0883489116899756,0.19659866861799857,0.003930136403437867,-0.013288301804963654,0.015590110996628104,0.09050229616372829,-0.04753981493957693,0.04104809711986901,0.06036196499829671,0.042930554800000076,-0.00355834189399995
2007-03-31,0.018129653696392856,0.06033460280176772,0.020155298583138137,0.020408034063937652,0.006197348910547573,0.025494474919049548,0.014070737236456132,0.03647965332917269,0.035687554680977396,0.027973462827439954,0.02813037164210508,0.18492378508700003,0.5144432299470001
